n , training_error ,  validation_error
1 , 0.346591461111 , 0.346557608688
2 , 0.343450099854 , 0.358552393564
3 , 0.314227883629 , 0.347875724418
4 , 0.295444486425 , 0.355213758644
5 , 0.251497814001 , 0.333288736288
6 , 0.200367031899 , 0.330656600476
7 , 0.11579316673 , 0.311586585391
8 , 0.0448318670049 , 0.295145634382
9 , 0.013531602526 , 0.295669194591
10 , 0.0 , 0.293056513103
11 , 0.0 , 0.293056513103
12 , 0.0 , 0.293056513103
13 , 0.0 , 0.293056513103
14 , 0.0 , 0.293056513103
15 , 0.0 , 0.293056513103
16 , 0.0 , 0.293056513103
17 , 0.0 , 0.293056513103
18 , 0.0 , 0.293056513103
19 , 0.0 , 0.293056513103
20 , 0.0 , 0.293056513103
21 , 0.0 , 0.293056513103
22 , 0.0 , 0.293056513103
23 , 0.0 , 0.293056513103
24 , 0.0 , 0.293056513103
25 , 0.0 , 0.293056513103
26 , 0.0 , 0.293056513103
27 , 0.0 , 0.293056513103
28 , 0.0 , 0.293056513103
29 , 0.0 , 0.293056513103
30 , 0.0 , 0.293056513103
31 , 0.0 , 0.293056513103
32 , 0.0 , 0.293056513103
33 , 0.0 , 0.293056513103
34 , 0.0 , 0.293056513103
35 , 0.0 , 0.293056513103
36 , 0.0 , 0.293056513103
37 , 0.0 , 0.293056513103
38 , 0.0 , 0.293056513103
39 , 0.0 , 0.293056513103
